系别,年级,班级,学号,姓名,性别,出生年月日,专业,培养层次,学制,校区,必修成绩,选修成绩,二课成绩,创新创业成绩,总成绩
信息工程学院,2023,计算机202306,202305071,何婷,女,2005-7-1,计算机科学与技术,本科,4,雅安,99,97,97,83,376
信息工程学院,2023,计算机202306,202308667,林星佑,女,2004-12-13,计算机科学与技术,本科,4,雅安,91,83,86,88,348
信息工程学院,2023,计算机202306,202307192,黄俊杰,男,2005-3-20,计算机科学与技术,本科,4,雅安,80,99,81,90,350
信息工程学院,2023,计算机202306,202307327,李乐,女,2005-12-16,计算机科学与技术,本科,4,雅安,81,88,89,84,342
信息工程学院,2023,计算机202306,202306862,李东慧,女,2005-7-11,计算机科学与技术,本科,4,雅安,91,100,98,87,376
信息工程学院,2023,计算机202306,202307565,杜芸波,男,2004-11-24,计算机科学与技术,本科,4,雅安,84,84,80,92,340
信息工程学院,2023,计算机202306,202305938,汪好,女,2005-9-27,计算机科学与技术,本科,4,雅安,100,83,80,93,356
信息工程学院,2023,计算机202306,202307098,杨婧蝶,女,2005-3-26,计算机科学与技术,本科,4,雅安,93,90,90,90,363
信息工程学院,2023,计算机202306,202305962,苏怡力,男,2005-5-31,计算机科学与技术,本科,4,雅安,90,84,81,90,345
信息工程学院,2023,计算机202306,202305878,王嘉欣,女,2004-9-2,计算机科学与技术,本科,4,雅安,100,88,89,95,372
信息工程学院,2023,计算机202306,202307065,卞雨婷,女,2004-8-22,计算机科学与技术,本科,4,雅安,97,91,82,84,354
信息工程学院,2023,计算机202306,202306004,姜宇,女,2004-9-9,计算机科学与技术,本科,4,雅安,85,100,93,94,372
信息工程学院,2023,计算机202306,202306803,任会,女,2005-5-16,计算机科学与技术,本科,4,雅安,90,82,89,94,355
信息工程学院,2023,计算机202306,202305195,吴斌涛,男,2005-3-8,计算机科学与技术,本科,4,雅安,88,85,98,100,371
信息工程学院,2023,计算机202306,202308860,刘芝宇,女,2004-12-6,计算机科学与技术,本科,4,雅安,91,93,97,100,381
信息工程学院,2023,计算机202306,202308549,梁云森,男,2003-3-26,计算机科学与技术,本科,4,雅安,99,95,90,96,380
信息工程学院,2023,计算机202306,202307110,刘州,男,2004-7-29,计算机科学与技术,本科,4,雅安,99,88,86,88,361
信息工程学院,2023,计算机202306,202308460,何硕,男,2004-11-8,计算机科学与技术,本科,4,雅安,85,100,89,85,359
信息工程学院,2023,计算机202306,202305717,曾祥恺,男,2004-11-17,计算机科学与技术,本科,4,雅安,91,91,88,98,368
信息工程学院,2023,计算机202306,202305380,阿力木尔合,女,2000-10-4,计算机科学与技术,本科,4,雅安,94,82,96,84,356
信息工程学院,2023,计算机202306,202307885,邵东林,男,2005-7-14,计算机科学与技术,本科,4,雅安,93,92,95,96,376
信息工程学院,2023,计算机202306,202306827,王香丁,女,2005-4-3,计算机科学与技术,本科,4,雅安,97,94,100,86,377
信息工程学院,2023,计算机202306,202305094,林洪民,男,2004-6-27,计算机科学与技术,本科,4,雅安,91,92,98,82,363
信息工程学院,2023,计算机202306,202308852,罗健,男,2005-3-29,计算机科学与技术,本科,4,雅安,91,100,91,93,375
信息工程学院,2023,计算机202306,202308724,向妍琳,女,2004-3-22,计算机科学与技术,本科,4,雅安,84,83,83,84,334
信息工程学院,2023,计算机202306,202306766,苏乐,女,2005-3-7,计算机科学与技术,本科,4,雅安,91,83,80,87,341
信息工程学院,2023,计算机202306,202306104,蒲靖宇,男,2005-4-25,计算机科学与技术,本科,4,雅安,80,86,91,99,356
信息工程学院,2023,计算机202306,202306630,谭棵,男,2004-12-9,计算机科学与技术,本科,4,雅安,100,92,90,91,373
信息工程学院,2023,计算机202306,202305249,范颖焓,女,2005-1-28,计算机科学与技术,本科,4,雅安,92,90,87,86,355
信息工程学院,2023,计算机202306,202307928,张玮浩,男,2005-5-12,计算机科学与技术,本科,4,雅安,93,83,99,99,374
信息工程学院,2023,计算机202306,202308659,贾露婷,女,2005-1-9,计算机科学与技术,本科,4,雅安,85,85,83,92,345
信息工程学院,2023,计算机202306,202308664,杨雅岚,女,2005-2-9,计算机科学与技术,本科,4,雅安,88,81,94,83,346
信息工程学院,2023,计算机202306,202308437,姚宇杰,男,2005-8-9,计算机科学与技术,本科,4,雅安,83,97,92,88,360
信息工程学院,2023,计算机202306,202308703,任景逸,男,2004-12-15,计算机科学与技术,本科,4,雅安,87,81,96,93,357
信息工程学院,2023,计算机202306,202307754,黄琬芸,女,2005-9-21,计算机科学与技术,本科,4,雅安,98,87,89,85,359
信息工程学院,2023,计算机202306,202305117,牛宸岳,女,2005-2-20,计算机科学与技术,本科,4,雅安,99,87,80,93,359
